T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1449.49362	3	0	97	1	1	2.999999999	0	97													-1449.49362	1	NaN	
1446.93362	3	0	97	1	1	2.999999999	0	97													-1446.93362	1	NaN	
1444.37362	3	0	97	1	1	2.999999999	0	97													-1444.37362	1	NaN	
1441.81362	3	0	97	1	1	2.999999999	0	97													-1441.81362	1	NaN	
1439.25362	3	0	97	1	1	2.999999999	0	97													-1439.25362	1	NaN	
1436.69362	3	0	97	1	1	2.999999999	0	97													-1436.69362	1	NaN	
1434.13362	3	0	97	1	1	2.999999999	0	97													-1434.13362	1	NaN	
1431.57362	3	0	97	1	1	2.999999999	0	97													-1431.57362	1	NaN	
1429.01362	3	0	97	1	1	2.999999999	0	97													-1429.01362	1	NaN	
1426.45362	3	0	97	1	1	2.999999999	0	97													-1426.45362	1	NaN	
1423.89362	3	0	97	1	1	2.999999999	0	97													-1423.89362	1	NaN	
1421.33362	3	0	97	1	1	2.999999999	0	97													-1421.33362	1	NaN	
1418.77362	3	0	97	1	1	2.999999999	0	97													-1418.77362	1	NaN	
1416.21362	3	0	97	1	1	2.999999999	0	97													-1416.21362	1	NaN	
1413.65362	3	0	97	1	1	2.999999999	0	97													-1413.65362	1	NaN	
1411.09362	3	0	97	1	1	2.999999999	0	97													-1411.09362	1	NaN	
1408.53362	3	0	97	1	1	2.999999999	0	97													-1408.53362	1	NaN	
1405.97362	3	0	97	1	1	2.999999999	0	97													-1405.97362	1	NaN	
1403.41362	3	0	97	1	1	2.999999999	0	97													-1403.41362	1	NaN	
1400.85362	3	0	97	1	1	2.999999999	0	97													-1400.85362	1	NaN	
1398.29362	3	0	97	1	1	2.999999999	0	97													-1398.29362	1	NaN	
1395.73362	3	0	97	1	1	2.999999999	0	97													-1395.73362	1	NaN	
1393.17362	3	0	97	1	1	2.999999999	0	97													-1393.17362	1	NaN	
1390.61362	3	0	97	1	1	2.999999999	0	97													-1390.61362	1	NaN	
1388.05362	3	0	97	1	1	2.999999999	0	97													-1388.05362	1	NaN	
1385.49362	3	0	97	1	1	2.999999999	0	97													-1385.49362	1	NaN	
1382.93362	3	0	97	1	1	2.999999999	0	97													-1382.93362	1	NaN	
1380.37362	3	0	97	1	1	2.999999999	0	97													-1380.37362	1	NaN	
1377.81362	3	0	97	1	1	2.999999999	0	97													-1377.81362	1	NaN	
1375.25362	3	0	97	1	1	2.999999999	0	97													-1375.25362	1	NaN	
1372.69362	3	0	97	1	1	2.999999999	0	97													-1372.69362	1	NaN	
1370.13362	3	0	97	1	1	2.999999999	0	97													-1370.13362	1	NaN	
1367.57362	3	0	97	1	1	2.999999999	0	97													-1367.57362	1	NaN	
1365.01362	3	0	97	1	1	2.999999999	0	97													-1365.01362	1	NaN	
1362.45362	3	0	97	1	1	2.999999999	0	97													-1362.45362	1	NaN	
1359.89362	3	0	97	1	1	2.999999999	0	97													-1359.89362	1	NaN	
1357.33362	3	0	97	1	1	2.999999999	0	97													-1357.33362	1	NaN	
1354.77362	3	0	97	1	1	2.999999999	0	97													-1354.77362	1	NaN	
1352.21362	3	0	97	1	1	2.999999999	0	97													-1352.21362	1	NaN	
1349.65362	3	0	97	1	1	2.999999999	0	97													-1349.65362	1	NaN	
1347.09362	3	0	97	1	1	2.999999999	0	97													-1347.09362	1	NaN	
1344.53362	3	0	97	1	1	2.999999999	0	97													-1344.53362	1	NaN	
1341.97362	3	0	97	1	1	2.999999999	0	97													-1341.97362	1	NaN	
1339.41362	3	0	97	1	1	2.999999999	0	97													-1339.41362	1	NaN	
1336.85362	3	0	97	1	1	2.999999999	0	97													-1336.85362	1	NaN	
1334.29362	3	0	97	1	1	2.999999999	0	97													-1334.29362	1	NaN	
1331.73362	3	0	97	1	1	2.999999999	0	97													-1331.73362	1	NaN	
1329.17362	3	0	97	1	1	2.999999999	0	97													-1329.17362	1	NaN	
1326.61362	3	0	97	1	1	2.999999999	0	97													-1326.61362	1	NaN	
1324.05362	3	0	97	1	1	2.999999999	0	97													-1324.05362	1	NaN	
1321.49362	3	0	97	1	1	2.999999999	0	97													-1321.49362	1	NaN	
1318.93362	3	0	97	1	1	2.999999999	0	97													-1318.93362	1	NaN	
1316.37362	3	0	97	1	1	2.999999999	0	97													-1316.37362	1	NaN	
1313.81362	3	0	97	1	1	2.999999999	0	97													-1313.81362	1	NaN	
1311.25362	3	0	97	1	1	2.999999999	0	97													-1311.25362	1	NaN	
1308.69362	3	0	97	1	1	2.999999999	0	97													-1308.69362	1	NaN	
1306.13362	3	0	97	1	1	2.999999999	0	97													-1306.13362	1	NaN	
1303.57362	3	0	97	1	1	2.999999999	0	97													-1303.57362	1	NaN	
1301.01362	3	0	97	1	1	2.999999999	0	97													-1301.01362	1	NaN	
1298.45362	3	0	97	1	1	2.999999999	0	97													-1298.45362	1	NaN	
1295.89362	3	0	97	1	1	2.999999999	0	97													-1295.89362	1	NaN	
1293.33362	3	0	97	1	1	2.999999999	0	97													-1293.33362	1	NaN	
1290.77362	3	0	97	1	1	2.999999999	0	97													-1290.77362	1	NaN	
1288.21362	3	0	97	1	1	2.999999999	0	97													-1288.21362	1	NaN	
1285.65362	3	0	97	1	1	2.999999999	0	97													-1285.65362	1	NaN	
1283.09362	3	0	97	1	1	2.999999999	0	97													-1283.09362	1	NaN	
1280.53362	3	0	97	1	1	2.999999999	0	97													-1280.53362	1	NaN	
1277.97362	3	0	97	1	1	2.999999999	0	97													-1277.97362	1	NaN	
1275.41362	3	0	97	1	1	2.999999999	0	97													-1275.41362	1	NaN	
1272.85362	3	0	97	1	1	2.999999999	0	97													-1272.85362	1	NaN	
1270.29362	3	0	97	1	1	2.999999999	0	97													-1270.29362	1	NaN	
1267.73362	3	0	97	1	1	2.999999999	0	97													-1267.73362	1	NaN	
