T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
908.8208328	100	0	0	1	1	100	0	0							-908.8208328	1	NaN	
908.7408328	100	0	0	1	1	100	0	0							-908.7408328	1	NaN	
908.6608328	100	0	0	1	1	100	0	0							-908.6608328	1	NaN	
908.5808328	100	0	0	1	1	100	0	0							-908.5808328	1	NaN	
908.5008328	100	0	0	1	1	100	0	0							-908.5008328	1	NaN	
908.4208328	100	0	0	1	1	100	0	0							-908.4208328	1	NaN	
908.3408328	100	0	0	1	1	100	0	0							-908.3408328	1	NaN	
908.2608328	100	0	0	1	1	100	0	0							-908.2608328	1	NaN	
908.1808328	100	0	0	1	1	100	0	0							-908.1808328	1	NaN	
908.1008328	100	0	0	1	1	100	0	0							-908.1008328	1	NaN	
908.0208328	100	0	0	1	1	100	0	0							-908.0208328	1	NaN	
907.9408328	100	0	0	1	1	100	0	0							-907.9408328	1	NaN	
907.8608328	100	0	0	1	1	100	0	0							-907.8608328	1	NaN	
907.7808328	100	0	0	1	1	100	0	0							-907.7808328	1	NaN	
907.7008328	100	0	0	1	1	100	0	0							-907.7008328	1	NaN	
907.6208328	100	0	0	1	1	100	0	0							-907.6208328	1	NaN	
907.5408328	100	0	0	1	1	100	0	0							-907.5408328	1	NaN	
907.4608328	100	0	0	1	1	100	0	0							-907.4608328	1	NaN	
907.3808328	100	0	0	1	1	100	0	0							-907.3808328	1	NaN	
907.3008328	100	0	0	1	1	100	0	0							-907.3008328	1	NaN	
907.2208328	100	0	0	1	1	100	0	0							-907.2208328	1	NaN	
907.1408328	100	0	0	1	1	100	0	0							-907.1408328	1	NaN	
907.0608328	100	0	0	1	1	100	0	0							-907.0608328	1	NaN	
906.9808328	100	0	0	1	1	100	0	0							-906.9808328	1	NaN	
906.9008328	100	0	0	1	1	100	0	0							-906.9008328	1	NaN	
906.8208328	100	0	0	1	1	100	0	0							-906.8208328	1	NaN	
906.7408328	100	0	0	1	1	100	0	0							-906.7408328	1	NaN	
906.6608328	100	0	0	1	1	100	0	0							-906.6608328	1	NaN	
906.5808328	100	0	0	1	1	100	0	0							-906.5808328	1	NaN	
906.5008328	100	0	0	1	1	100	0	0							-906.5008328	1	NaN	
906.4208328	100	0	0	1	1	100	0	0							-906.4208328	1	NaN	
906.3408328	100	0	0	1	1	100	0	0							-906.3408328	1	NaN	
906.2608328	100	0	0	1	1	100	0	0							-906.2608328	1	NaN	
906.1808328	100	0	0	1	1	100	0	0							-906.1808328	1	NaN	
906.1008328	100	0	0	1	1	100	0	0							-906.1008328	1	NaN	
906.0208328	100	0	0	1	1	100	0	0							-906.0208328	1	NaN	
905.9408328	100	0	0	1	1	100	0	0							-905.9408328	1	NaN	
905.8608328	100	0	0	1	1	100	0	0							-905.8608328	1	NaN	
