T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
714.4056819	82	16	2	1	0.7115110076	97.6480969	1.5541367	0.7977664007				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-714.4056819	0.7115110076	-4084.31256793115	
711.8456819	82	16	2	1	0.7108897499	97.69601722	1.516928366	0.7870544185				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-711.8456819	0.7108897499	-4158.36718108774	
709.2856819	82	16	2	1	0.7102795563	97.74317476	1.480433327	0.7763919113				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-709.2856819	0.7102795563	-4233.77711817183	
706.7256819	82	16	2	1	0.7096802325	97.78958012	1.444639679	0.7657801993				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-706.7256819	0.7096802325	-4310.58121295522	
704.1656819	82	16	2	1	0.7090915894	97.83524364	1.409535792	0.7552205714				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-704.1656819	0.7090915894	-4388.81897861082	
701.6056819	82	16	2	1	0.7085134428	97.88017542	1.375110296	0.7447142859				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-701.6056819	0.7085134428	-4468.53167675656	
699.0456819	82	16	2	1	0.7079456134	97.92438536	1.341352069	0.7342625709				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-699.0456819	0.7079456134	-4549.76228579392	
696.4856819	82	16	2	1	0.7073879265	97.96788314	1.308250232	0.7238666249				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-696.4856819	0.7073879265	-4632.55432699345	
693.9256819	82	16	2	1	0.7068402117	98.01067825	1.275794136	0.7135276174				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-693.9256819	0.7068402117	-4716.95392862848	
691.3656819	82	16	2	1	0.7063023031	98.05277996	1.243973354	0.7032466897				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-691.3656819	0.7063023031	-4803.00752655316	
688.8056819	82	16	2	1	0.7057740385	98.09419737	1.212777674	0.6930249547				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-688.8056819	0.7057740385	-4890.76340651205	
686.2456819	82	16	2	1	0.7052552599	98.13493941	1.182197088	0.682863498				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-686.2456819	0.7052552599	-4980.2722990923	
683.6856819	82	16	2	1	0.7047458129	98.17501484	1.152221786	0.6727633782				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-683.6856819	0.7047458129	-5071.58532148054	
