T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
779.201459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-779.201459	0.5090132595	NaN	
774.081459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-774.081459	0.5090132595	NaN	
768.961459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-768.961459	0.5090132595	NaN	
763.841459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-763.841459	0.5090132595	NaN	
758.721459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-758.721459	0.5090132595	NaN	
753.601459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-753.601459	0.5090132595	NaN	
748.481459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-748.481459	0.5090132595	NaN	
743.361459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-743.361459	0.5090132595	NaN	
738.241459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-738.241459	0.5090132595	NaN	
733.121459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-733.121459	0.5090132595	NaN	
728.001459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-728.001459	0.5090132595	NaN	
722.881459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-722.881459	0.5090132595	NaN	
717.761459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-717.761459	0.5090132595	NaN	
712.641459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-712.641459	0.5090132595	NaN	
707.521459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-707.521459	0.5090132595	NaN	
702.401459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-702.401459	0.5090132595	NaN	
697.281459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-697.281459	0.5090132595	NaN	
692.161459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-692.161459	0.5090132595	NaN	
687.041459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-687.041459	0.5090132595	NaN	
