T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
901.4556561	96	4	0.4844206879	0.003604628052	97.99611269	2.003887311	93.71064975	6.289350245			0	0	-901.4556561	0.003604628052	-8545.43713399878	
901.3756561	96	4	0.4862656651	0.003595289447	97.99119037	2.008809626	93.69520444	6.304795556			0	0	-901.3756561	0.003595289447	-8587.90030805851	
901.2956561	96	4	0.4880992675	0.00358599696	97.98626826	2.013731737	93.67976132	6.320238675			0	0	-901.2956561	0.00358599696	-8630.46730690925	
901.2156561	96	4	0.4899215933	0.003576750248	97.98134635	2.018653646	93.6643204	6.335679597			0	0	-901.2156561	0.003576750248	-8673.13869936731	
901.1356561	96	4	0.4917327398	0.003567548974	97.97642465	2.023575354	93.64888168	6.351118317			0	0	-901.1356561	0.003567548974	-8715.9155589892	
901.0556561	96	4	0.4935328029	0.003558392804	97.97150314	2.028496862	93.63344517	6.366554829			0	0	-901.0556561	0.003558392804	-8758.7966487719	
900.9756561	96	4	0.4953218776	0.003549281405	97.96658183	2.033418173	93.61801087	6.381989129			0	0	-900.9756561	0.003549281405	-8801.78171866797	
900.8956561	96	4	0.4971000578	0.003540214449	97.96166071	2.038339289	93.60257879	6.397421212			0	0	-900.8956561	0.003540214449	-8844.87199102309	
900.8156561	96	4	0.4988674366	0.003531191612	97.95673979	2.043260209	93.58714893	6.412851073			0	0	-900.8156561	0.003531191612	-8888.06728943571	
900.7356561	96	4	0.5006241057	0.003522212572	97.95181906	2.048180937	93.57172129	6.428278706			0	0	-900.7356561	0.003522212572	-8931.3669850031	
900.6556561	96	4	0.5023701561	0.00351327701	97.94689853	2.053101474	93.55629589	6.443704108			0	0	-900.6556561	0.00351327701	-8974.77146932958	
900.5756561	96	4	0.5041056776	0.003504384611	97.94197818	2.058021821	93.54087273	6.459127272			0	0	-900.5756561	0.003504384611	-9018.28015140377	
900.4956561	96	4	0.5058307592	0.003495535061	97.93705802	2.06294198	93.52545181	6.474548195			0	0	-900.4956561	0.003495535061	-9061.89403974897	
900.4156561	96	4	0.5075454888	0.003486728053	97.93213805	2.067861953	93.51003313	6.48996687			0	0	-900.4156561	0.003486728053	-9105.61259049503	
900.3356561	96	4	0.5092499535	0.003477963278	97.92721826	2.072781741	93.49461671	6.505383294			0	0	-900.3356561	0.003477963278	-9149.4353669055	
900.2556561	96	4	0.5109442392	0.003469240434	97.92229865	2.077701346	93.47920254	6.52079746			0	0	-900.2556561	0.003469240434	-9193.36346146785	
900.1756561	96	4	0.5126284313	0.00346055922	97.91737923	2.082620769	93.46379063	6.536209365			0	0	-900.1756561	0.00346055922	-9237.3959540327	
900.0956561	96	4	0.5143026138	0.003451919338	97.91245999	2.087540012	93.448381	6.551619004			0	0	-900.0956561	0.003451919338	-9281.53299246024	
