T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
607.6982021	91	9	0.8246943195	0.008153985881	90.48521874	9.51478126	62.06830204	37.93169796	0	0	-607.6982021	0.008153985881	-61153.9482127241	
605.1382021	91	9	0.8261325767	0.008112673669	90.36774305	9.632256951	61.83684018	38.16315982	0	0	-605.1382021	0.008112673669	-62832.7411050607	
602.5782021	91	9	0.8275520296	0.00807246958	90.24925933	9.750740667	61.60561529	38.39438471	0	0	-602.5782021	0.00807246958	-64572.7503226956	
600.0182021	91	9	0.8289531354	0.008033353419	90.1297568	9.870243199	61.37461511	38.62538489	0	0	-600.0182021	0.008033353419	-66377.8118324458	
597.4582021	91	9	0.8303363373	0.007995305784	90.00922454	9.990775455	61.14382748	38.85617252	0	0	-597.4582021	0.007995305784	-68252.10605757	
594.8982021	91	9	0.8317020651	0.007958308048	89.88765154	10.11234846	60.91324023	39.08675977	0	0	-594.8982021	0.007958308048	-70200.195620952	
592.3382021	91	9	0.8330507358	0.007922342326	89.76502664	10.23497336	60.68284124	39.31715876	0	0	-592.3382021	0.007922342326	-72227.0654370929	
589.7782021	91	9	0.834382754	0.007887391454	89.64133858	10.35866142	60.45261842	39.54738158	0	0	-589.7782021	0.007887391454	-74338.1816166509	
587.2182021	91	9	0.8356985128	0.007853438968	89.51657598	10.48342402	60.22255969	39.77744031	0	0	-587.2182021	0.007853438968	-76539.5432204512	
584.6582021	91	9	0.8369983934	0.007820469079	89.39072733	10.60927267	59.99265299	40.00734701	0	0	-584.6582021	0.007820469079	-78837.7473366155	
582.0982021	91	9	0.8382827663	0.007788466653	89.263781	10.736219	59.76288629	40.23711371	0	0	-582.0982021	0.007788466653	-81240.069505748	
579.5382021	91	9	0.8395519913	0.007757417192	89.13572524	10.86427476	59.53324755	40.46675245	0	0	-579.5382021	0.007757417192	-83754.551241035	
576.9782021	91	9	0.8408064183	0.007727306815	89.00654817	10.99345183	59.30372474	40.69627526	0	0	-576.9782021	0.007727306815	-86390.1032143406	
574.4182021	91	9	0.842046387	0.007698122241	88.87623779	11.12376221	59.07430585	40.92569415	0	0	-574.4182021	0.007698122241	-89156.6220522004	
571.8582021	91	9	0.843272228	0.00766985077	88.74478198	11.25521802	58.84497885	41.15502115	0	0	-571.8582021	0.00766985077	-92065.1378255327	
569.2982021	91	9	0.8444842625	0.007642480272	88.61216847	11.38783153	58.61573169	41.38426831	0	0	-569.2982021	0.007642480272	-95127.9701421917	
566.7382021	91	9	0.8456828033	0.007615999165	88.47838489	11.52161511	58.38655234	41.61344766	0	0	-566.7382021	0.007615999165	-98358.9249269561	
564.1782021	91	9	0.8468681543	0.007590396406	88.34341872	11.65658128	58.15742872	41.84257128	0	0	-564.1782021	0.007590396406	-101773.537552096	
561.6182021	91	9	0.8480406116	0.007565661478	88.20725734	11.79274266	57.92834876	42.07165124	0	0	-561.6182021	0.007565661478	-105389.328953809	
559.0582021	91	9	0.8492004634	0.007541784372	88.06988797	11.93011203	57.69930035	42.30069965	0	0	-559.0582021	0.007541784372	-109226.150266058	
556.4982021	91	9	0.8503479901	0.007518755582	87.93129772	12.06870228	57.47027135	42.52972865	0	0	-556.4982021	0.007518755582	-113306.572116356	
553.9382021	91	9	0.8514834651	0.007496566086	87.79147356	12.20852644	57.24124958	42.75875042	0	0	-553.9382021	0.007496566086	-117656.373413121	
551.3782021	91	9	0.8526071544	0.007475207343	87.65040234	12.34959766	57.01222284	42.98777716	0	0	-551.3782021	0.007475207343	-122305.130417923	
548.8182021	91	9	0.8537193175	0.007454671277	87.50807076	12.49192924	56.78317887	43.21682113	0	0	-548.8182021	0.007454671277	-127286.937267279	
546.2582021	91	9	0.8548202071	0.007434950272	87.36446541	12.63553459	56.55410537	43.44589463	0	0	-546.2582021	0.007434950272	-132641.306878568	
543.6982021	91	9	0.8559100696	0.00741603716	87.21957274	12.78042726	56.32498999	43.67501001	0	0	-543.6982021	0.00741603716	-138393.572417905	
541.1382021	91	9	0.8569891446	0.007397920122	87.07337906	12.92662094	56.09582032	43.90417968	0	0	-541.1382021	0.007397920122	-144663.621701434	
538.5782021	91	9	0.858057668	0.007380608142	86.92587057	13.07412943	55.86658388	44.13341612	0	0	-538.5782021	0.007380608142	-151462.5021982	
536.0182021	91	9	0.8591158676	0.007364080076	86.7770333	13.2229667	55.63726814	44.36273186	0	0	-536.0182021	0.007364080076	-158835.788697718	
