T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
590.5650902	97	0	3	1	0.9044046313	98.63037032	0	1.36962968				81.57546334	0	18.42453666				-590.5650902	0.9044046313	-2381.01631906408	
588.0050902	97	0	3	1	0.9033350947	98.65105884	0	1.34894116				81.57083059	0	18.42916941				-588.0050902	0.9033350947	-2406.44546656646	
585.4450902	97	0	3	1	0.9022768912	98.67159557	0	1.328404431				81.56616983	0	18.43383017				-585.4450902	0.9022768912	-2432.29401661782	
582.8850902	97	0	3	1	0.9012299652	98.69198017	0	1.308019832				81.56148115	0	18.43851885				-582.8850902	0.9012299652	-2458.57393540455	
580.3250902	97	0	3	1	0.9001942622	98.71221229	0	1.287787709				81.55676463	0	18.44323537				-580.3250902	0.9001942622	-2485.29742964989	
577.7650902	97	0	3	1	0.8991697285	98.73229159	0	1.267708411				81.55202034	0	18.44797966				-577.7650902	0.8991697285	-2512.47721713882	
575.2050902	97	0	3	1	0.8981563115	98.75221771	0	1.24778229				81.54724835	0	18.45275165				-575.2050902	0.8981563115	-2540.12664955923	
572.6450902	97	0	3	1	0.8971539595	98.77199029	0	1.228009706				81.54244875	0	18.45755125				-572.6450902	0.8971539595	-2568.25925290769	
570.0850902	97	0	3	1	0.8961626216	98.79160898	0	1.20839102				81.53762158	0	18.46237842				-570.0850902	0.8961626216	-2596.88924624449	
567.5250902	97	0	3	1	0.8951822479	98.8110734	0	1.188926599				81.53276694	0	18.46723306				-567.5250902	0.8951822479	-2626.03143025265	
