T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
579.1506084	97	1	2	1	0.9389774926	98.703803	0.01836756368	1.277829437				62.54235303	28.42537001	9.032276954	81.55449549	0	18.44550451				-579.1506084	0.9389774926	-2319.90922415708	
576.5906084	97	1	2	1	0.9378799249	98.72454096	0.01759770882	1.25786133				62.54235303	28.42537001	9.032276954	81.549743	0	18.450257				-576.5906084	0.9378799249	-2345.29785818955	
574.0306084	97	1	2	1	0.936794271	98.74510223	0.01685315664	1.238044618				62.54235303	28.42537001	9.032276954	81.54496267	0	18.45503733				-574.0306084	0.936794271	-2371.10978138975	
571.4706084	97	1	2	1	0.9357204684	98.76548692	0.01613335	1.218379734				62.54235303	28.42537001	9.032276954	81.54015457	0	18.45984543				-571.4706084	0.9357204684	-2397.35724433875	
568.9106084	97	1	2	1	0.9346584558	98.78569515	0.01543773548	1.198867112				62.54235303	28.42537001	9.032276954	81.53531879	0	18.46468121				-568.9106084	0.9346584558	-2424.05230886069	
566.3506084	97	1	2	1	0.9336081725	98.80572705	0.01476576349	1.179507189				62.54235303	28.42537001	9.032276954	81.5304554	0	18.4695446				-566.3506084	0.9336081725	-2451.20754634886	
563.7906084	97	1	2	1	0.932569559	98.82558271	0.01411688849	1.160300403				62.54235303	28.42537001	9.032276954	81.52556446	0	18.47443554				-563.7906084	0.932569559	-2478.83624675982	
561.2306084	97	1	2	1	0.9315425566	98.84526224	0.01349056916	1.141247194				62.54235303	28.42537001	9.032276954	81.52064603	0	18.47935397				-561.2306084	0.9315425566	-2506.95202097177	
558.6706084	97	1	2	1	0.9305271076	98.86476573	0.01288626855	1.122348003				62.54235303	28.42537001	9.032276954	81.5157002	0	18.4842998				-558.6706084	0.9305271076	-2535.56889755293	
556.1106084	97	1	2	1	0.929523155	98.88409328	0.01230345429	1.10360327				62.54235303	28.42537001	9.032276954	81.51072701	0	18.48927299				-556.1106084	0.929523155	-2564.70175848016	
