T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@BCC_B2#3)	w(FE@BCC_B2#3)	w(TI@BCC_B2#3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
613.2690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.2690502			
613.1090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.1090502			
612.9490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.9490502			
612.7890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.7890502			
612.6290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.6290502			
612.4690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.4690502			
612.3090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.3090502			
612.1490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-612.1490502			
611.9890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.9890502			
611.8290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.8290502			
611.6690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.6690502			
611.5090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.5090502			
611.3490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.3490502			
611.1890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.1890502			
611.0290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-611.0290502			
610.8690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.8690502			
610.7090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.7090502			
610.5490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.5490502			
610.3890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.3890502			
610.2290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.2290502			
610.0690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-610.0690502			
609.9090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.9090502			
609.7490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.7490502			
609.5890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.5890502			
609.4290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.4290502			
609.2690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.2690502			
609.1090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-609.1090502			
608.9490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.9490502			
608.7890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.7890502			
608.6290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.6290502			
608.4690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.4690502			
608.3090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.3090502			
608.1490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-608.1490502			
