T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1917.784997	1	99	0.7019779806	0.005388295415	0.7935336908	99.20646631	2.143427152	97.85657285			0	0	-1917.784997	0.005388295415	-4293.59313276074	
1917.704997	1	99	0.7035836196	0.005369726811	0.796284572	99.20371543	2.150699991	97.84930001			0	0	-1917.704997	0.005369726811	-4323.25509045444	
1917.624997	1	99	0.7051751414	0.00535128539	0.7990355352	99.20096446	2.157972047	97.84202795			0	0	-1917.624997	0.00535128539	-4353.02245778905	
1917.544997	1	99	0.7067527177	0.005332969878	0.8017865804	99.19821342	2.16524332	97.83475668			0	0	-1917.544997	0.005332969878	-4382.8921428567	
1917.464997	1	99	0.7083165177	0.005314778964	0.8045377073	99.19546229	2.172513809	97.82748619			0	0	-1917.464997	0.005314778964	-4412.86135669369	
1917.384997	1	99	0.7098667081	0.005296711385	0.8072889158	99.19271108	2.179783515	97.82021648			0	0	-1917.384997	0.005296711385	-4442.93394723032	
1917.304997	1	99	0.7114034528	0.005278765897	0.8100402057	99.18995979	2.187052439	97.81294756			0	0	-1917.304997	0.005278765897	-4473.10996469347	
1917.224997	1	99	0.7129269134	0.005260941271	0.8127915768	99.18720842	2.194320581	97.80567942			0	0	-1917.224997	0.005260941271	-4503.38774790085	
1917.144997	1	99	0.7144372488	0.005243236283	0.8155430289	99.18445697	2.20158794	97.79841206			0	0	-1917.144997	0.005243236283	-4533.76747326595	
1917.064997	1	99	0.7159346158	0.005225649738	0.8182945619	99.18170544	2.208854518	97.79114548			0	0	-1917.064997	0.005225649738	-4564.24746712239	
1916.984997	1	99	0.7174191684	0.005208180432	0.8210461756	99.17895382	2.216120315	97.78387969			0	0	-1916.984997	0.005208180432	-4594.8308516033	
1916.904997	1	99	0.7188910585	0.005190827225	0.8237978697	99.17620213	2.22338533	97.77661467			0	0	-1916.904997	0.005190827225	-4625.51706940628	
1916.824997	1	99	0.7203504358	0.005173588941	0.8265496443	99.17345036	2.230649565	97.76935044			0	0	-1916.824997	0.005173588941	-4656.30321689314	
1916.744997	1	99	0.7217974475	0.005156464448	0.8293014989	99.1706985	2.237913019	97.76208698			0	0	-1916.744997	0.005156464448	-4687.19352521913	
