T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1660.94687	12	6	82	0.03625507039	0.0003831812188	5.376693994	2.528959801	92.09434621	12.24570402	6.129037867	81.62525811										0	0	0	-1660.94687	0.0003831812188	-679320.851016675	
1660.86687	12	6	82	0.03663272198	0.0003830634916	5.37796942	2.529793588	92.09223699	12.24833581	6.130417134	81.62124706										0	0	0	-1660.86687	0.0003830634916	-679735.256669528	
1660.78687	12	6	82	0.0370101113	0.000382945833	5.379244682	2.530627464	92.09012785	12.2509673	6.131796186	81.61723651										0	0	0	-1660.78687	0.000382945833	-680141.239348178	
1660.70687	12	6	82	0.0373872386	0.0003828282463	5.38051978	2.531461427	92.08801879	12.25359851	6.133175023	81.61322646										0	0	0	-1660.70687	0.0003828282463	-680554.929775891	
1660.62687	12	6	82	0.03776410414	0.0003827107307	5.381794714	2.532295479	92.08590981	12.25622943	6.134553646	81.60921692										0	0	0	-1660.62687	0.0003827107307	-680968.839222034	
1660.54687	12	6	82	0.03814070819	0.0003825932869	5.383069485	2.533129619	92.0838009	12.25886006	6.135932053	81.60520788										0	0	0	-1660.54687	0.0003825932869	-681383.828565277	
1660.46687	12	6	82	0.038517051	0.0003824759144	5.384344092	2.533963847	92.08169206	12.26149041	6.137310246	81.60119935										0	0	0	-1660.46687	0.0003824759144	-681794.382581759	
1660.38687	12	6	82	0.03889313283	0.000382358612	5.385618534	2.534798164	92.0795833	12.26412046	6.138688224	81.59719132										0	0	0	-1660.38687	0.000382358612	-682208.352404654	
1660.30687	12	6	82	0.03926895395	0.0003822413819	5.386892813	2.535632569	92.07747462	12.26675023	6.140065987	81.59318379										0	0	0	-1660.30687	0.0003822413819	-682623.39284313	
1660.22687	12	6	82	0.03964451461	0.0003821242221	5.388166928	2.536467062	92.07536601	12.2693797	6.141443535	81.58917676										0	0	0	-1660.22687	0.0003821242221	-683038.660834553	
1660.14687	12	6	82	0.04001981508	0.0003820071345	5.389440879	2.537301644	92.07325748	12.27200889	6.142820869	81.58517024										0	0	0	-1660.14687	0.0003820071345	-683451.497979158	
1660.06687	12	6	82	0.0403948556	0.0003818901162	5.390714666	2.538136314	92.07114902	12.27463779	6.144197988	81.58116422										0	0	0	-1660.06687	0.0003818901162	-683862.513749703	
1659.98687	12	6	82	0.04076963644	0.0003817731693	5.391988289	2.538971073	92.06904064	12.27726641	6.145574892	81.5771587										0	0	0	-1659.98687	0.0003817731693	-684279.869366044	
1659.90687	12	6	82	0.04114415787	0.0003816562937	5.393261748	2.539805921	92.06693233	12.27989473	6.146951581	81.57315368										0	0	0	-1659.90687	0.0003816562937	-684691.281576794	
1659.82687	12	6	82	0.04151842012	0.0003815394873	5.394535043	2.540640857	92.0648241	12.28252277	6.148328056	81.56914917										0	0	0	-1659.82687	0.0003815394873	-685106.728214542	
1659.74687	12	6	82	0.04189242347	0.0003814227534	5.395808174	2.541475881	92.06271594	12.28515053	6.149704315	81.56514516										0	0	0	-1659.74687	0.0003814227534	-685524.126108627	
1659.66687	12	6	82	0.04226616817	0.0003813060892	5.397081141	2.542310995	92.06060786	12.28777799	6.151080361	81.56114165										0	0	0	-1659.66687	0.0003813060892	-685938.225337551	
1659.58687	12	6	82	0.04263965447	0.0003811894962	5.398353943	2.543146197	92.05849986	12.29040517	6.152456191	81.55713864										0	0	0	-1659.58687	0.0003811894962	-686352.519706373	
1659.50687	12	6	82	0.04301288264	0.0003810729728	5.399626581	2.543981488	92.05639193	12.29303206	6.153831807	81.55313614										0	0	0	-1659.50687	0.0003810729728	-686768.211651656	
1659.42687	12	6	82	0.04338585293	0.0003809565209	5.400899056	2.544816868	92.05428408	12.29565866	6.155207208	81.54913413										0	0	0	-1659.42687	0.0003809565209	-687180.257034515	
1659.34687	12	6	82	0.04375856559	0.0003808401372	5.402171365	2.545652337	92.0521763	12.29828498	6.156582395	81.54513263										0	0	0	-1659.34687	0.0003808401372	-687596.962573403	
