T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
731.1754711	92	6	2	0.8712203607	0.01029935764		90.78227763	7.043607186	2.17411518				58.66006574	31.13701696	10.20291731	0.3321211501	-0.2491079347	-0.08301321535				0	0	0	-731.1754711	0.01029935764			
728.6154711	92	6	2	0.8727602686	0.01020553535		90.46431988	7.309534884	2.226145239				58.33214262	31.38269315	10.28516423	0.3291982114	-0.2466313495	-0.08256686191				0	0	0	-728.6154711	0.01020553535			
726.0554711	92	6	2	0.8742697168	0.0101247784		90.11835055	7.600944264	2.280705182				58.00702535	31.62593776	10.36703689	0.3263817908	-0.2441903395	-0.08219145127				0	0	0	-726.0554711	0.0101247784			
723.4954711	92	6	2	0.8757512847	0.01005921161		89.73794799	7.923780754	2.338271253				57.68459651	31.86678252	10.44862096	0.3236833076	-0.241781163	-0.0819021446				0	0	0	-723.4954711	0.01005921161			
720.9354711	92	6	2	0.877207835	0.01001200725		89.31402273	8.286475583	2.39950169				57.36472228	32.10525354	10.53002418	0.3211192388	-0.2393981475	-0.08172109127				0	0	0	-720.9354711	0.01001200725			
718.3754711	92	6	2	0.8786427112	0.009988121643		88.83300703	8.701638646	2.465354328				57.04724431	32.34136755	10.61138814	0.3187142128	-0.2370318375	-0.08168237532				0	0	0	-718.3754711	0.009988121643			
715.8154711	92	6	2	0.8800601056	0.009995839876		88.27310171	9.189571946	2.537326343				56.73196584	32.5751237	10.69291045	0.3165069034	-0.234664545	-0.08184235845				0	0	0	-715.8154711	0.009995839876			
713.2554711	92	6	2	0.8814658409	0.01005057781		87.59526086	9.786719574	2.618019561				56.41862261	32.80648566	10.77489173	0.314562389	-0.2322576911	-0.08230469791				0	0	0	-713.2554711	0.01005057781			
713.1754711	92	6	2	0.8815093045	0.0003139223892		87.57143611	9.807837927	2.620725959				56.40884538	32.81370387	10.77745075	0.01099914625	-0.008119992412	-0.002879153837				0	0	0	-713.1754711	0.0003139223892			
713.1554711	92	6	2	0.8815201583	7.845588234E-05		87.56544921	9.813146093	2.621404699				56.4064012	32.81550824	10.77809056	0.003666194218	-0.002706420804	-0.0009597734141				0	0	0	-713.1554711	7.845588234E-05			
713.1354711	92	6	2	0.8816232427		0.0008859085529				60.73815976	35.82630813	3.435532103	56.40256025	32.81283859	10.78460116				0.001505094462	0.001052700046	-0.002557794507	0	0	0	-713.1354711		0.0008859085529		
713.1154711	92	6	2	0.8816636879		0.000347905593				60.73309502	35.83029014	3.436614848	56.4010531	32.81178844	10.78715846				0.002259742973	0.001576508676	-0.00383625165	0	0	0	-713.1154711		0.000347905593		
713.0754711	92	6	2	0.8817445468		0.0006957631065				60.7230096	35.83820923	3.438781167	56.39804412	32.80968138	10.7922745				0.003759571317	0.00263585637	-0.006395427687	0	0	0	-713.0754711		0.0006957631065		
712.9954711	92	6	2	0.8819060899		0.001391144521				60.7030146	35.85386869	3.443116708	56.39204768	32.80544084	10.80251148				0.006743189571	0.004774119816	-0.01151730939	0	0	0	-712.9954711		0.001391144521		
712.8354711	92	6	2	0.8822284783		0.002780746911				60.66370163	35.88449898	3.451799389	56.38013939	32.79685565	10.82300497				0.01264803776	0.009127590054	-0.02177562781	0	0	0	-712.8354711		0.002780746911		
712.5154711	92	6	2	0.8828704355		0.005554902025				60.58768373	35.943106	3.469210268	56.35665119	32.77928188	10.86406693				0.02421776031	0.01812953015	-0.04234729046	0	0	0	-712.5154711		0.005554902025		
711.8754711	92	6	2	0.8841416594		0.01107168453				60.4449352	36.05085884	3.504205965	56.31087924	32.74265536	10.9464654				0.04646813181	0.03722201288	-0.08369014468	0	0	0	-711.8754711		0.01107168453		
710.5954711	92	6	2	0.886634973		0.02198870942				60.1906093	36.23455278	3.574837915	56.22363965	32.66415737	11.11220298				0.08788120657	0.0791585754	-0.167039782	0	0	0	-710.5954711		0.02198870942		
708.0354711	92	6	2	0.8914234535		0.04326888241				59.77287418	36.50876889	3.718356935	56.06312945	32.49027496	11.44659559				0.1610967903	0.174610408	-0.3357071983	0	0	0	-708.0354711		0.04326888241		
705.4754711	92	6	2	0.8959190073		0.04252577192				59.42222228	36.71349389	3.864283825	55.9139371	32.30270244	11.78336046				0.1497374109	0.1883503748	-0.3380877857	0	0	0	-705.4754711		0.04252577192		
702.9154711	92	6	2	0.9001421198		0.04177313104				59.11970721	36.86786717	4.01242562	55.77418424	32.10368762	12.12212814				0.140266764	0.1998306025	-0.3400973665	0	0	0	-702.9154711		0.04177313104		
700.3554711	92	6	2	0.9041132884		0.04103149635				58.85301334	36.98434686	4.162639792	55.6424501	31.89485821	12.46269169				0.1322210988	0.2096784903	-0.341899589	0	0	0	-700.3554711		0.04103149635		
