T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
585.2343155	97	3	0.9507122301	0.007559507526	90.4629958	9.5370042	60.37799306	39.62200694	0.2283158346	-0.2283158346	0	0	-585.2343155	0.007559507526	-75466.1219316112	
582.6743155	97	3	0.951087611	0.007526042802	90.34782165	9.652178349	60.15072848	39.84927152	0.2281520283	-0.2281520283	0	0	-582.6743155	0.007526042802	-77603.2866335399	
580.1143155	97	3	0.951458539	0.007493504914	90.23160453	9.768395472	59.92361545	40.07638455	0.2279999063	-0.2279999063	0	0	-580.1143155	0.007493504914	-79828.819390436	
577.5543155	97	3	0.9518251167	0.00746187961	90.11433237	9.885667625	59.69664234	40.30335766	0.2278594567	-0.2278594567	0	0	-577.5543155	0.00746187961	-82149.0123511619	
574.9943155	97	3	0.952187444	0.007431153235	89.99599299	10.00400701	59.46979754	40.53020246	0.2277306721	-0.2277306721	0	0	-574.9943155	0.007431153235	-84570.7865810338	
572.4343155	97	3	0.9525456178	0.007401312703	89.87657401	10.12342599	59.24306942	40.75693058	0.2276135489	-0.2276135489	0	0	-572.4343155	0.007401312703	-87101.7668766339	
569.8743155	97	3	0.9528997323	0.007372345487	89.75606295	10.24393705	59.01644637	40.98355363	0.2275080878	-0.2275080878	0	0	-569.8743155	0.007372345487	-89750.3900863631	
567.3143155	97	3	0.9532498793	0.007344239605	89.63444715	10.36555285	58.78991677	41.21008323	0.2274142938	-0.2274142938	0	0	-567.3143155	0.007344239605	-92525.9963102504	
564.7543155	97	3	0.9535961481	0.0073169836	89.51171381	10.48828619	58.563469	41.436531	0.2273321758	-0.2273321758	0	0	-564.7543155	0.0073169836	-95438.9581693172	
562.1943155	97	3	0.9539386254	0.00729056653	89.38784997	10.61215003	58.33709139	41.66290861	0.2272617471	-0.2272617471	0	0	-562.1943155	0.00729056653	-98500.8377448865	
559.6343155	97	3	0.954277396	0.007264977956	89.26284252	10.73715748	58.11077231	41.88922769	0.2272030252	-0.2272030252	0	0	-559.6343155	0.007264977956	-101724.548511928	
557.0743155	97	3	0.954612542	0.007240207927	89.13667819	10.86332181	57.88450005	42.11549995	0.2271560318	-0.2271560318	0	0	-557.0743155	0.007240207927	-105124.56023288	
554.5143155	97	3	0.9549441438	0.00721624697	89.00934355	10.99065645	57.65826292	42.34173708	0.2271207929	-0.2271207929	0	0	-554.5143155	0.00721624697	-108717.145120361	
