T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
689.6120389	89	1	10	0.7352971834	0.01111262319	94.44239567	0.07257870232	5.485025629	65.67442693	3.301099735	31.02447334				0	0	0				-689.6120389	0.01111262319	-30432.6101351436	
687.0520389	89	1	10	0.7382358361	0.01102991643	94.36598826	0.0704614853	5.563550256	65.35442773	3.337131431	31.30844084				0	0	0				-687.0520389	0.01102991643	-31517.1885656024	
684.4920389	89	1	10	0.7411209414	0.01095007142	94.28890459	0.06837154266	5.642723864	65.03408104	3.373321496	31.59259746				0	0	0				-684.4920389	0.01095007142	-32654.8196807917	
681.9320389	89	1	10	0.7439542816	0.01087302506	94.21113462	0.0663097606	5.722555624	64.71334639	3.409674645	31.87697897				0	0	0				-681.9320389	0.01087302506	-33850.3356326721	
679.3720389	89	1	10	0.7467375681	0.01079871824	94.13266812	0.06427697659	5.803054899	64.39218261	3.446195723	32.16162167				0	0	0				-679.3720389	0.01079871824	-35109.1960711394	
676.8120389	89	1	10	0.7494724449	0.01072709561	94.05349477	0.06227397979	5.884231246	64.07054779	3.482889724	32.44656248				0	0	0				-676.8120389	0.01072709561	-36437.4971275644	
674.2520389	89	1	10	0.7521604919	0.01065810514	93.97360406	0.06030151133	5.966094424	63.74839929	3.519761784	32.73183893				0	0	0				-674.2520389	0.01065810514	-37842.4339863132	
671.6920389	89	1	10	0.7548032287	0.01059169913	93.89298532	0.05836026471	6.048654411	63.42569356	3.556817198	33.01748924				0	0	0				-671.6920389	0.01059169913	-39332.257295114	
669.1320389	89	1	10	0.7574021178	0.01052783308	93.81162771	0.05645088627	6.131921407	63.10238619	3.594061429	33.30355238				0	0	0				-669.1320389	0.01052783308	-40916.3145696919	
666.5720389	89	1	10	0.7599585674	0.01046646598	93.72952017	0.05457397555	6.21590585	62.77843181	3.631500111	33.59006807				0	0	0				-666.5720389	0.01046646598	-42605.5376057707	
