T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
625.9323063	97	2	1	1	0.9729935448	99.69233662	0.2963310732	0.01133230396				0	63.38009805	36.61990195				-625.9323063	0.9729935448	-91675.0491542292	
625.8523063	97	2	1	1	0.9729926732	99.69242593	0.2962745619	0.01129950949				0	63.38009805	36.61990195				-625.8523063	0.9729926732	-91890.8926021226	
625.7723063	97	2	1	1	0.9729918036	99.69251503	0.2962181826	0.0112667916				0	63.38009805	36.61990195				-625.7723063	0.9729918036	-92102.4776276695	
625.6923063	97	2	1	1	0.972990936	99.69260391	0.296161935	0.01123415018				0	63.38009805	36.61990195				-625.6923063	0.972990936	-92320.3911055778	
625.6123063	97	2	1	1	0.9729900705	99.6926926	0.2961058189	0.0112015851				0	63.38009805	36.61990195				-625.6123063	0.9729900705	-92539.2875529021	
625.5323063	97	2	1	1	0.972989207	99.69278107	0.2960498343	0.01116909627				0	63.38009805	36.61990195				-625.5323063	0.972989207	-92759.2755024206	
625.4523063	97	2	1	1	0.9729883456	99.69286934	0.2959939808	0.01113668358				0	63.38009805	36.61990195				-625.4523063	0.9729883456	-92974.8329758308	
625.3723063	97	2	1	1	0.9729874861	99.69295739	0.2959382584	0.01110434691				0	63.38009805	36.61990195				-625.3723063	0.9729874861	-93191.4955641114	
625.2923063	97	2	1	1	0.9729866287	99.69304525	0.2958826668	0.01107208614				0	63.38009805	36.61990195				-625.2923063	0.9729866287	-93414.5471260419	
625.2123063	97	2	1	1	0.9729857733	99.69313289	0.2958272057	0.01103990119				0	63.38009805	36.61990195				-625.2123063	0.9729857733	-93633.215333746	
625.1323063	97	2	1	1	0.9729849199	99.69322033	0.2957718752	0.01100779192				0	63.38009805	36.61990195				-625.1323063	0.9729849199	-93852.9096733719	
625.0523063	97	2	1	1	0.9729840685	99.69330757	0.2957166748	0.01097575823				0	63.38009805	36.61990195				-625.0523063	0.9729840685	-94073.6373971166	
624.9723063	97	2	1	1	0.9729832191	99.6933946	0.2956616045	0.01094380001				0	63.38009805	36.61990195				-624.9723063	0.9729832191	-94300.9902823712	
624.8923063	97	2	1	1	0.9729823718	99.69348142	0.2956066641	0.01091191715				0	63.38009805	36.61990195				-624.8923063	0.9729823718	-94523.7804596419	
624.8123063	97	2	1	1	0.9729815264	99.69356804	0.2955518533	0.01088010954				0	63.38009805	36.61990195				-624.8123063	0.9729815264	-94742.094265179	
624.7323063	97	2	1	1	0.972980683	99.69365445	0.295497172	0.01084837706				0	63.38009805	36.61990195				-624.7323063	0.972980683	-94967.0292785945	
624.6523063	97	2	1	1	0.9729798416	99.69374066	0.29544262	0.01081671961				0	63.38009805	36.61990195				-624.6523063	0.9729798416	-95198.7264765011	
624.5723063	97	2	1	1	0.9729790023	99.69382667	0.2953881971	0.01078513707				0	63.38009805	36.61990195				-624.5723063	0.9729790023	-95425.7833331648	
624.4923063	97	2	1	1	0.9729781649	99.69391247	0.295333903	0.01075362934				0	63.38009805	36.61990195				-624.4923063	0.9729781649	-95642.5445525715	
624.4123063	97	2	1	1	0.9729773294	99.69399807	0.2952797377	0.0107221963				0	63.38009805	36.61990195				-624.4123063	0.9729773294	-95871.8357459872	
